date,amount,direction,counterparty,inn,purpose,category,activity
2026-10-05,40000.00,out,Арендодатель склада,7755001122,Аренда склада,аренда,операционная
2026-10-08,187747.70,out,Фабрика-производитель «Восток Пром»,2701998877,Оплата производства партии товара,закупка товара,операционная
2026-10-10,411132.40,in,Wildberries,7721617461,"Выплата за реализованный товар (Wildberries), за минусом комиссии",выручка маркетплейс,операционная
2026-10-18,20000.00,out,Банк «Кредитный»,7709998887,"Платёж по кредиту, договор №221",кредит,финансовая
2026-10-25,150000.00,out,ФОТ сотрудников (реестр),,Зарплата сотрудникам за месяц,зарплата,операционная
2026-10-25,505475.88,in,Ozon,7735642672,"Выплата за реализованный товар (Ozon), за минусом комиссии",выручка маркетплейс,операционная
2026-10-25,129470.71,out,ФНС России,7727406020,Авансовый платёж УСН 6% за 3 квартал 2026,налоги,операционная
2026-11-05,40000.00,out,Арендодатель склада,7755001122,Аренда склада,аренда,операционная
2026-11-08,144284.16,out,Фабрика-производитель «Восток Пром»,2701998877,Оплата производства партии товара,закупка товара,операционная
2026-11-10,599686.91,in,Wildberries,7721617461,"Выплата за реализованный товар (Wildberries), за минусом комиссии",выручка маркетплейс,операционная
2026-11-18,20000.00,out,Банк «Кредитный»,7709998887,"Платёж по кредиту, договор №221",кредит,финансовая
2026-11-25,150000.00,out,ФОТ сотрудников (реестр),,Зарплата сотрудникам за месяц,зарплата,операционная
2026-11-25,605050.55,in,Ozon,7735642672,"Выплата за реализованный товар (Ozon), за минусом комиссии",выручка маркетплейс,операционная
2026-12-05,40000.00,out,Арендодатель склада,7755001122,Аренда склада,аренда,операционная
2026-12-08,180761.76,out,Фабрика-производитель «Восток Пром»,2701998877,Оплата производства партии товара,закупка товара,операционная
2026-12-10,573289.79,in,Wildberries,7721617461,"Выплата за реализованный товар (Wildberries), за минусом комиссии",выручка маркетплейс,операционная
2026-12-18,20000.00,out,Банк «Кредитный»,7709998887,"Платёж по кредиту, договор №221",кредит,финансовая
2026-12-25,150000.00,out,ФОТ сотрудников (реестр),,Зарплата сотрудникам за месяц,зарплата,операционная
2026-12-25,663508.15,in,Ozon,7735642672,"Выплата за реализованный товар (Ozon), за минусом комиссии",выручка маркетплейс,операционная
2026-12-28,201488.62,out,ФНС России,7727406020,Авансовый платёж УСН 6% за 4 квартал 2026,налоги,операционная
